번호,대분류,용도지역,법_건폐율상한(%),시행령_건폐율상한(%),서울조례_건폐율(%),법_용적률상한(%),시행령_용적률하한(%),시행령_용적률상한(%),서울조례_용적률(%),서울도심_용적률(%),단위,비고,출처_법,출처_시행령,출처_조례,조회일
11,공업지역,전용공업지역,70,70,60,400,150,300,200,,퍼센트 이하(용적률 하한은 이상),,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제11호·제85조제1항제11호 (법령ID 009419, MST 288857, 시행 2026-09-18)","서울특별시 도시계획 조례 제44조제11호·제48조제11호 (자치법규ID 2000719, MST 2149501, 시행 2026-07-13)",2026-09-21
12,공업지역,일반공업지역,70,70,60,400,150,350,200,,퍼센트 이하(용적률 하한은 이상),,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제12호·제85조제1항제12호 (법령ID 009419, MST 288857, 시행 2026-09-18)","서울특별시 도시계획 조례 제44조제12호·제48조제12호 (자치법규ID 2000719, MST 2149501, 시행 2026-07-13)",2026-09-21
13,공업지역,준공업지역,70,70,60,400,150,400,400,,퍼센트 이하(용적률 하한은 이상),,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제13호·제85조제1항제13호 (법령ID 009419, MST 288857, 시행 2026-09-18)","서울특별시 도시계획 조례 제44조제13호·제48조제13호 (자치법규ID 2000719, MST 2149501, 시행 2026-07-13)",2026-09-21
14,녹지지역,보전녹지지역,20,20,20,100,50,80,50,,퍼센트 이하(용적률 하한은 이상),,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제14호·제85조제1항제14호 (법령ID 009419, MST 288857, 시행 2026-09-18)","서울특별시 도시계획 조례 제44조제14호·제48조제14호 (자치법규ID 2000719, MST 2149501, 시행 2026-07-13)",2026-09-21
15,녹지지역,생산녹지지역,20,20,20,100,50,100,50,,퍼센트 이하(용적률 하한은 이상),,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제15호·제85조제1항제15호 (법령ID 009419, MST 288857, 시행 2026-09-18)","서울특별시 도시계획 조례 제44조제15호·제48조제15호 (자치법규ID 2000719, MST 2149501, 시행 2026-07-13)",2026-09-21
16,녹지지역,자연녹지지역,20,20,20,100,50,100,50,,퍼센트 이하(용적률 하한은 이상),,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제16호·제85조제1항제16호 (법령ID 009419, MST 288857, 시행 2026-09-18)","서울특별시 도시계획 조례 제44조제16호·제48조제16호 (자치법규ID 2000719, MST 2149501, 시행 2026-07-13)",2026-09-21
17,관리지역,보전관리지역,20,20,,80,50,80,,,퍼센트 이하(용적률 하한은 이상),서울시 조례 제44조·제48조에 규정 없음(도시지역 16종만 정함) — 값 비움,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제17호·제85조제1항제17호 (법령ID 009419, MST 288857, 시행 2026-09-18)",,2026-09-21
18,관리지역,생산관리지역,20,20,,80,50,80,,,퍼센트 이하(용적률 하한은 이상),서울시 조례 제44조·제48조에 규정 없음(도시지역 16종만 정함) — 값 비움,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제18호·제85조제1항제18호 (법령ID 009419, MST 288857, 시행 2026-09-18)",,2026-09-21
19,관리지역,계획관리지역,40,40,,100,50,100,,,퍼센트 이하(용적률 하한은 이상),서울시 조례 제44조·제48조에 규정 없음(도시지역 16종만 정함) — 값 비움,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제19호·제85조제1항제19호 (법령ID 009419, MST 288857, 시행 2026-09-18)",,2026-09-21
20,농림지역,농림지역,20,20,,80,50,80,,,퍼센트 이하(용적률 하한은 이상),서울시 조례 제44조·제48조에 규정 없음(도시지역 16종만 정함) — 값 비움,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제20호·제85조제1항제20호 (법령ID 009419, MST 288857, 시행 2026-09-18)",,2026-09-21
21,자연환경보전지역,자연환경보전지역,20,20,,80,50,80,,,퍼센트 이하(용적률 하한은 이상),서울시 조례 제44조·제48조에 규정 없음(도시지역 16종만 정함) — 값 비움,"국토계획법 제77조제1항·제78조제1항 (법령ID 009294, MST 284013, 시행 2026-07-01)","같은 법 시행령 제84조제1항제21호·제85조제1항제21호 (법령ID 009419, MST 288857, 시행 2026-09-18)",,2026-09-21
