번호,검증대상,위치,원래주장,오류유형,판정,근거법령,근거조문,식별자,원문발췌,시행일,조회일,조회경로,바로잡은내용
11,"AI 요약 (Claude Haiku 4.5, 도구 없이 생성, sources/AI요약_원문_2026-09-21.md)",3번 표,일반상업지역 용적률 600~700%,수치,수치 불일치,서울특별시 도시계획 조례,제48조(용도지역 안에서의 용적률),자치법규ID 2000719 / MST 2149501,"…퍼센트(단, 서울도심: 800퍼센트)8. 일반상업지역: 800퍼센트(단, 서울도심: 600퍼센트)9. 근린상업지역: 600퍼센트(단, 서울도심: 500퍼센트)10. 유통상업지역: 600퍼센트(단, 서울도심: 500퍼센트)11. 전용공업지역: 200퍼센트12. 일반공업지역: 200퍼센트13. 준공업지역:…",2026-07-13,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),"서울 조례 800% 이하(서울도심 600%), 시행령 범위 200~1,300%"
12,"AI 요약 (Claude Haiku 4.5, 도구 없이 생성, sources/AI요약_원문_2026-09-21.md)",5번,"한양도성 내 중심상업지역 용적률 1,000~1,500% 이상 적용 가능",수치,수치 불일치,서울특별시 도시계획 조례,제48조(용도지역 안에서의 용적률),자치법규ID 2000719 / MST 2149501,"…0퍼센트6. 준주거지역: 400퍼센트7. 중심상업지역: 1천퍼센트(단, 서울도심: 800퍼센트)8. 일반상업지역: 800퍼센트(단, 서울도심: 600퍼센트)9. 근린상업지역: 600퍼센트(단, 서울도심: 500퍼센트)10. 유통상업지역: 600퍼센트(단, 서울도심: 500퍼센트)11. 전용공업지역: 20…",2026-07-13,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),"서울도심 중심상업지역은 오히려 낮은 800% 이하. 1,500%는 법 제78조제1항 상업지역 상한이지 서울 적용값이 아님"
13,비교과 강의자료 (스마트도시계획_03주차_비교과_20260921.pdf),12쪽(슬라이드 12) 삽화 ③ 조문 받기,제36조(용도지역의 변경) ① 시장·군수 또는 구청장은 도시·군관리계획을 변경하려면…,조문,실재하지 않음,국토의 계획 및 이용에 관한 법률,제36조(용도지역의 지정),법령ID 009294 / MST 284013,"제36조(용도지역의 지정) ① 국토교통부장관, 시ㆍ도지사 또는 대도시 시장은 다음 각 호의 어느 하나에 해당하는 용도지역의 지정 또는 변경을 도시ㆍ군관리계획으로 결정한다. <개정 2011.4.14, 2013.3.23> 1. 도시지역: 다음 각 목의 어느 하나로 구분하여 지정한다. 가. 주거지역: 거주의…",2026-07-01,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),제36조 제목은 '용도지역의 지정'이고 결정권자는 국토교통부장관·시ㆍ도지사·대도시 시장. 구청장은 결정권자가 아님
14,비교과 강의자료 (스마트도시계획_03주차_비교과_20260921.pdf),20·24쪽 삽화 ②③,"천안시 도시계획 조례 제61조(용도지역의 변경), 조례번호 제161조",조문,실재하지 않음,천안시 도시계획 조례,제61조(용도지역안에서의 용적률),자치법규ID 2152964 / MST 1932763,제61조(용도지역안에서의 용적률)① 영 제85조제1항의 규정에 따라 각 용도지역의 용적률은 다음 각 호와 같다.<개정 2023.12.11.>1. 제1종전용주거지역 : 100퍼센트 이하 <개정 2011.11.1>2. 제2종전용주거지역 : 150퍼센트 이하3. 제1종일반주거지역 : 200퍼센트 이하 <개정…,2024-05-17,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),제61조 제목은 '용도지역안에서의 용적률'이고 공포번호는 제2613호(2024-05-13 공포). 이 조례에 '용도지역의 변경' 조는 없음
15,비교과 강의자료 (스마트도시계획_03주차_비교과_20260921.pdf),21쪽 삽화 'MCP 응답 화면',"서울특별시 건축 조례 제19조(건축물의 용도변경), 시행일 2024.1.1",조문,실재하지 않음,서울특별시 건축 조례,제19조(현장조사ㆍ검사 및 확인업무의 대행),자치법규ID 2000120 / MST 2116749,"제19조(현장조사ㆍ검사 및 확인업무의 대행) ① 법 제27조제1항 및 영 제20조제1항 에 따라 허가권자가 허가대상 건축물의 현장조사ㆍ검사 및 확인업무를 해당 건축물의 설계자로 하여금 대행하게 할 수 있는 대상은 다음 각 호와 같다. <개정 2016.5.19, 2018.7.19>1. 법 제11조에 따라…",2026-03-30,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),서울 건축 조례 제19조는 '현장조사ㆍ검사 및 확인업무의 대행'(현행 2026-03-30 시행). 용도변경은 건축법 제19조임
16,주간 강의자료 (스마트도시계획_03주차_주간슬라이드_20260921.pdf),10쪽 인사이트 3,"광역도시계획 내용은 공간구조·기능분담, 녹지관리체계, 광역시설, 교통·물류, 문화·여가·경제의 다섯 갈래",조문,조문 불일치,국토의 계획 및 이용에 관한 법률,제12조(광역도시계획의 내용),법령ID 009294 / MST 284013,…시설의 배치ㆍ규모ㆍ설치에 관한 사항 4. 경관계획에 관한 사항 5. 그 밖에 광역계획권에 속하는 특별시ㆍ광역시ㆍ특별자치시ㆍ특별자치도ㆍ시 또는 군 상호 간의 기능 연계에 관한 사항으로서 대통령령으로 정하는 사항 ② 광역도시계획의 수립기준 등은 대통령령으로 정하는 바에 따라 국토교통부장관이 정한다. <개정…,2026-07-01,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),법 제12조제1항 다섯 호는 공간구조·기능분담 / 녹지관리체계·환경보전 / 광역시설 / 경관계획 / 대통령령 위임 기능연계. 경관계획(제4호)이 빠지고 시행령 위임 사항이 법정 호처럼 적힘
17,주간 강의자료 (스마트도시계획_03주차_주간슬라이드_20260921.pdf),12쪽 출처·28쪽 03 시점,시행령 제30조 등 '2026-09-08 공포·시행'본을 현행으로 인용,시점,시점 불일치,국토의 계획 및 이용에 관한 법률 시행령,제30조(용도지역의 세분),법령ID 009419 / MST 288857,"제30조(용도지역의 세분) ① 국토교통부장관, 시ㆍ도지사 또는 대도시의 시장(이하 ""대도시 시장""이라 한다)은 법 제36조제2항에 따라 도시ㆍ군관리계획결정으로 주거지역ㆍ상업지역ㆍ공업지역 및 녹지지역을 다음 각 호와 같이 세분하여 지정할 수 있다. <개정 2008.2.29, 2009.8.5, 2012.4.…",2026-09-18,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),"2026-09-18 시행(2026-08-18 공포, MST 288857)본이 조회일 현재 현행이고 09-08본(MST 289497)은 연혁. 제31조·제85조 본문은 두 본이 같아 수치 영향은 없음"
18,주간 강의자료 (스마트도시계획_03주차_주간슬라이드_20260921.pdf),30·31쪽 (2025 강의자료 원본 45·53번),용도지구 10종,시점,시점 불일치,국토의 계획 및 이용에 관한 법률,제37조(용도지구의 지정),법령ID 009294 / MST 284013,"…경을 도시ㆍ군관리계획으로 결정한다. <개정 2011.4.14, 2013.3.23, 2017.4.18, 2023.5.16> 1. 경관지구: 경관의 보전ㆍ관리 및 형성을 위하여 필요한 지구 2. 고도지구: 쾌적한 환경 조성 및 토지의 효율적 이용을 위하여 건축물 높이의 최고한도를 규제할 필요가 있는 지구 3…",2026-07-01,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),강의자료가 이미 찾은 항목을 원문으로 재확인 — 2017.4.18 개정 전 목록이며 현행 9종
19,주간 강의자료 (스마트도시계획_03주차_주간슬라이드_20260921.pdf),31쪽 ②,취락지구는 자연·보호·집단 3종(시행령 제31조제2항제7호),-,일치,국토의 계획 및 이용에 관한 법률 시행령,제31조(용도지구의 지정),법령ID 009419 / MST 288857,…취락을 정비하기 위하여 필요한 지구 나. 보호취락지구: 녹지지역ㆍ관리지역ㆍ농림지역 또는 자연환경보전지역 안의 취락을 농촌의 주거환경 보호와 주거기능 강화를 목적으로 정비하기 위한 지구 다. 집단취락지구 : 개발제한구역안의 취락을 정비하기 위하여 필요한 지구 8. 개발진흥지구 가. 주거개발진흥지구 : 주거…,2026-09-18,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),보호취락지구는 2025.7.1 개정으로 신설 — 강의자료와 일치
20,주간 강의자료 (스마트도시계획_03주차_주간슬라이드_20260921.pdf),35쪽 차트,제3종일반주거 용적률: 서울 250%(제48조)·천안 300%(제61조)·아산 280%(제56조),-,일치,서울특별시 도시계획 조례,제48조(용도지역 안에서의 용적률),자치법규ID 2000719 / MST 2149501,"…4. 제2종일반주거지역: 200퍼센트5. 제3종일반주거지역: 250퍼센트6. 준주거지역: 400퍼센트7. 중심상업지역: 1천퍼센트(단, 서울도심: 800퍼센트)8. 일반상업지역: 800퍼센트(단, 서울도심: 600퍼센트)9. 근린상업지역: 600퍼센트(단, 서울도심: 500퍼센트)10. 유통상업지역: 6…",2026-07-13,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),"천안 제61조제1항제5호 300%, 아산 제56조제1항제5호 280%도 원문과 일치"
21,주간 강의자료 (스마트도시계획_03주차_주간슬라이드_20260921.pdf),35쪽 인사이트 3,"서울 조례는 상업지역에 '서울도심' 단서를 둠(중심상업 1,000%, 도심 800%) — 시행령 제85조제2항의 관할구역 세분",-,일치,국토의 계획 및 이용에 관한 법률 시행령,제85조(용도지역 안에서의 용적률),법령ID 009419 / MST 288857,"…필요한 경우에는 당해 지방자치단체의 관할구역을 세분하여 용적률을 달리 정할 수 있다. <개정 2012.4.10> ③ 제1항에도 불구하고 다음 각 호의 어느 하나에 해당하는 경우에는 해당 지역의 용적률을 다음 각 호의 구분에 따라 완화할 수 있다. <개정 2018.7.17, 2022.1.28, 2023.3…",2026-09-18,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),서울도심 범역은 조례 시행규칙 제19조·별표 5(도면)로 정함
22,주간 강의자료 (스마트도시계획_03주차_주간슬라이드_20260921.pdf),13쪽 차트·각주,"법정 용적률 상한 주거500·상업1,500·공업400·녹지100·보전/생산관리80·계획관리100·농림80·자연환경보전80, 건폐율 주거70·상업90·공업70·녹지20·계획관리40",-,일치,국토의 계획 및 이용에 관한 법률,제78조(용도지역에서의 용적률),법령ID 009294 / MST 284013,…가. 주거지역: 500퍼센트 이하 나. 상업지역: 1천500퍼센트 이하 다. 공업지역: 400퍼센트 이하 라. 녹지지역: 100퍼센트 이하 2. 관리지역 가. 보전관리지역: 80퍼센트 이하 나. 생산관리지역: 80퍼센트 이하 다. 계획관리지역: 100퍼센트 이하 3. 농림지역: 80퍼센트 이하 4. 자…,2026-07-01,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),법 제77조제1항·제78조제1항과 모두 일치
23,주간 강의자료 (스마트도시계획_03주차_주간슬라이드_20260921.pdf),56쪽 ①④,"지구단위계획구역 지정 후 3년 내 미결정 시 실효, 주민제안 계획 5년 내 미착수 시 실효, 사업 종료 10년 지난 지역 지정 의무",-,일치,국토의 계획 및 이용에 관한 법률,제53조(지구단위계획구역의 지정 및 지구단위계획에 관한 도시ㆍ군관리계획결정의 실효 등),법령ID 009294 / MST 284013,"…한 도시ㆍ군관리계획결정의 고시일부터 3년 이내에 그 지구단위계획구역에 관한 지구단위계획이 결정ㆍ고시되지 아니하면 그 3년이 되는 날의 다음날에 그 지구단위계획구역의 지정에 관한 도시ㆍ군관리계획결정은 효력을 잃는다. 다만, 다른 법률에서 지구단위계획의 결정(결정된 것으로 보는 경우를 포함한다)에 관하여 따…",2026-07-01,2026-09-21,law.go.kr DRF API lawService.do (type=JSON),"제53조제1항·제2항, 제51조제2항제1호와 일치"
